urls,names
https://olympics.com/pt/noticias/pre-olimpico-masculino-basquete-horario-assistir-brasil-montenegro,pre-olimpico-masculino-basquete-horario-assistir-brasil-montenegro
https://olympics.com/pt/noticias/jogos-olimpicos-mais-medalhas-edicao-recordes,jogos-olimpicos-mais-medalhas-edicao-recordes
https://olympics.com/pt/noticias/selecao-brasileira-feminina-volei-superar-dor-semifinal-vnl,selecao-brasileira-feminina-volei-superar-dor-semifinal-vnl
https://olympics.com/pt/noticias/basquete-bruno-caboclo-sonha-com-nba-paris-2024,basquete-bruno-caboclo-sonha-com-nba-paris-2024
https://olympics.com/pt/noticias/basquete-feminino-paris-2024-formato-programacao-onde-assistir,basquete-feminino-paris-2024-formato-programacao-onde-assistir
https://olympics.com/pt/noticias/paris-2024-paises-competem-cores-diferentes-das-bandeiras,paris-2024-paises-competem-cores-diferentes-das-bandeiras
https://olympics.com/pt/noticias/pre-olimpico-masculino-basquete-2024-estrelas-vaga-em-paris-2024,pre-olimpico-masculino-basquete-2024-estrelas-vaga-em-paris-2024
https://olympics.com/pt/noticias/rebeca-andrade-provavelmente-ultimo-individual-geral,rebeca-andrade-provavelmente-ultimo-individual-geral
https://olympics.com/pt/noticias/cerimonia-de-abertura-paris-2024-fas-recordam-momentos-favoritos-na-historia,cerimonia-de-abertura-paris-2024-fas-recordam-momentos-favoritos-na-historia
https://olympics.com/pt/noticias/futebol-masculino-final-previa-programacao-como-assistir,futebol-masculino-final-previa-programacao-como-assistir
https://olympics.com/pt/noticias/volei-feminino-jogos-olimpicos-paris-2024-horario-assistir-brasil-quenia,volei-feminino-jogos-olimpicos-paris-2024-horario-assistir-brasil-quenia
https://olympics.com/pt/noticias/guilherme-schimidt-perfil-judo-paris-2024,guilherme-schimidt-perfil-judo-paris-2024
https://olympics.com/pt/noticias/tenis-masculino-paris-2024-destaques-programacao-onde-assistir,tenis-masculino-paris-2024-destaques-programacao-onde-assistir
https://olympics.com/pt/noticias/rayssa-bronze-skate-street-paris-2024,rayssa-bronze-skate-street-paris-2024
